Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,17.45,0,,,,,,
0,17.45,11.52,3.17,0.0,0.0,1.0,1.0,0.0
1,17.29,11.66,3.16,1.01,0.69,0.99,0.39,0.0
2,17.77,11.81,3.24,1.18,0.74,1.02,0.45,0.0
3,17.29,11.72,3.13,1.2,0.76,0.99,0.49,0.0
4,18.08,11.64,3.16,1.22,0.78,1.04,0.55,0.0
5,17.25,11.65,3.15,1.21,0.83,0.99,0.51,0.0
6,17.48,11.65,3.14,1.34,0.92,1.0,0.54,0.0
7,17.62,11.65,3.17,1.19,0.87,1.01,0.47,0.0
8,17.73,11.71,3.17,1.38,0.99,1.02,0.56,0.0
9,17.63,11.63,3.17,1.24,0.86,1.01,0.47,0.0
10,18.01,11.73,3.18,1.25,0.87,1.03,0.52,0.0
11,17.65,11.78,3.18,1.32,0.79,1.01,0.45,0.0
12,17.81,11.68,3.21,1.25,0.88,1.02,0.52,0.0
13,17.63,11.74,3.2,1.31,0.9,1.01,0.48,0.0
14,18.28,11.7,3.19,1.11,0.77,1.05,0.37,0.0
15,18.23,11.74,3.22,1.19,0.85,1.04,0.44,0.0
16,18.18,11.87,3.32,1.31,0.98,1.04,0.47,0.0
17,18.67,11.76,3.18,1.39,0.94,1.07,0.41,0.0
18,18.45,11.79,3.22,1.29,0.84,1.06,0.49,0.0
19,18.14,11.76,3.19,1.22,0.86,1.04,0.47,0.0
20,17.7,11.7,3.17,1.17,0.84,1.01,0.44,0.0
21,18.11,11.69,3.19,1.38,0.9,1.04,0.52,0.0
22,18.01,11.74,3.17,1.18,0.84,1.03,0.34,0.0
23,18.35,11.7,3.16,1.37,0.95,1.05,0.49,0.0
24,17.68,11.71,3.12,1.18,0.82,1.01,0.4,0.0
25,17.82,11.62,3.16,1.2,0.85,1.02,0.42,0.0
26,17.55,11.62,3.14,1.23,0.84,1.01,0.53,0.0
27,17.81,11.7,3.15,1.31,0.76,1.02,0.41,0.0
28,17.8,11.69,3.13,1.13,0.79,1.02,0.37,0.0
29,17.74,11.68,3.23,1.2,0.82,1.02,0.52,0.0
30,17.32,11.59,3.08,1.17,0.68,0.99,0.43,0.0
31,17.58,11.66,3.23,1.12,0.83,1.01,0.44,0.0
32,17.39,11.57,3.13,1.13,0.76,1.0,0.47,0.0
33,17.74,11.62,3.16,1.12,0.78,1.02,0.4,0.0
